"ID"	"feed"	"time"	"text1"	"text2"	"TAG_country"	"TAG_ebola"
90722	"en_AUS_austra_int"	"2014-01-04 08:41:49"	"Fallujah erupts as al-Qa'ida digs in"	"TWO Iraqi cities that were strongholds of Sunni insurgents during the US war in the country are battlegrounds once more."	"IRQ"	""
92171	"en_AUS_austra_int"	"2014-01-04 16:41:46"	"Mother, daughter die on Bali trip"	"A MOTHER and daughter from Queensland have died on the Indonesian holiday island of Bali, possibly due to a food allergy."	""	""
92518	"en_AUS_austra_int"	"2014-01-04 18:41:45"	"Iraq's Fallujah falls to 'AQ'"	"IRAQI forces had lost Fallujah to al-Qa'ida-linked fighters, a senior security official said last night. "	"IRQ"	""
92519	"en_AUS_austra_int"	"2014-01-04 18:41:45"	"Thai ruling party begins campaign"	"THAI Prime Minister Yingluck Shinawatra's party yesterday began campaigning for February elections in the face of an opposition boycott."	"THA"	""
92520	"en_AUS_austra_int"	"2014-01-04 18:41:45"	"Police files checked on Thai death"	"THE Australian mother of a 24-year-old man who died after a five-storey fall in Thailand hopes police reports will provide fresh evidence."	"THA"	""
92521	"en_AUS_austra_int"	"2014-01-04 18:41:45"	"Strife in Bangladesh for election"	"DOZENS of polling booths were torched and a train set alight on the eve of Bangladesh's election yesterday."	"BGD"	""
92522	"en_AUS_austra_int"	"2014-01-04 18:41:45"	"Indonesian volcano erupts"	"AN Indonesian volcano that has erupted relentlessly for months has shot volcanic ash into the air in a new spate."	"IDN"	""
92523	"en_AUS_austra_int"	"2014-01-04 18:41:45"	"Mother, daughter die on Bali trip"	"A MOTHER and daughter from Queensland have died on the Indonesian holiday island of Bali, possibly because of a food allergy."	""	""
93478	"en_AUS_austra_int"	"2014-01-04 23:41:42"	"Iraq's Fallujah falls to Islamist rebels"	"IRAQ has lost Fallujah to al-Qa'ida-linked fighters, putting militants back in control of the city where US forces repeatedly battled insurgents."	"IRQ"	""
93830	"en_AUS_austra_int"	"2014-01-05 01:41:41"	"US steams in to end Antarctic deadlock"	"A US icebreaker will set sail for Antarctica today to assist a Russian vessel trapped in heavy ice and the Chinese ship which went to its aid."	"USA"	""
94007	"en_AUS_austra_int"	"2014-01-05 02:41:40"	"Schumacher probe looks at helmet camera"	"MICHAEL Schumacher remains in a ""critical but stable"" condition, as investigators look at a helmet camera he wore at the moment of his ski accident."	""	""
94157	"en_AUS_austra_int"	"2014-01-05 03:41:39"	"Best friends forever, for 6m years or so"	"CHIMPANZEES have the same instinct as humans to form enduring relationships with ""best friends"", scientists have found."	""	""
94672	"en_AUS_austra_int"	"2014-01-05 06:41:36"	"Vote 'farce' begins in Bangladesh"	"BANGLADESH votes today in a violence-plagued election that will crown the incumbent, after the opposition boycotted the ""farcical"" contest."	"BGD"	""
94673	"en_AUS_austra_int"	"2014-01-05 06:41:36"	"Oscar-winning producer Saul Zaentz dies"	"FILM producer Saul Zaentz, Oscar winner for ""One Flew Over the Cuckoo's Nest,"" ""Amadeus"" and ""The English Patient,"" has died at age 92."	""	""
94674	"en_AUS_austra_int"	"2014-01-05 06:41:36"	"US ship on Antarctic ice break mission"	"ALL Antarctic rescue hopes rest on American icebreaker Polar Star, which has left Sydney on its mission to free two ships trapped by thick ice."	"USA"	""
96228	"en_AUS_austra_int"	"2014-01-05 15:41:32"	"Hun Sen moves to suppress opposition"	"CAMBODIA'S opposition leaders have been summoned to court on suspicion of inciting civil unrest, their party said."	""	""
96229	"en_AUS_austra_int"	"2014-01-05 15:41:32"	"Militants your problem, US tells Iraq"	"JOHN Kerry says the US will stick by Iraq in its battle with al-Qa'ida-linked militants, but has stressed it is ""their fight."""	"USA"	""
96229	"en_AUS_austra_int"	"2014-01-05 15:41:32"	"Militants your problem, US tells Iraq"	"JOHN Kerry says the US will stick by Iraq in its battle with al-Qa'ida-linked militants, but has stressed it is ""their fight."""	"IRQ"	""
96230	"en_AUS_austra_int"	"2014-01-05 15:41:32"	"Peace will be fair and balanced: Kerry"	"ANY Middle East peace plan will be ""fair and balanced"", John Kerry said yesterday."	""	""
96231	"en_AUS_austra_int"	"2014-01-05 15:41:32"	"Chinese peep at leader's lifestyle"	"THE Chinese people have been provided a look into their new leader Xi Jinping's private world."	"CHN"	""
96232	"en_AUS_austra_int"	"2014-01-05 15:41:32"	"Papal plea on gays' kids"	"POPE Francis has called for a rethink in the way the Catholic Church deals with the children of gay couples and divorced parents."	""	""
96233	"en_AUS_austra_int"	"2014-01-05 15:41:32"	"Guns muffle peace talks"	"FACE-TO-FACE peace talks between South Sudan's warring factions were set to begin in earnest overnight."	""	""
96234	"en_AUS_austra_int"	"2014-01-05 15:41:32"	"Youth salute 'anti-Jew comic'"	"A FRENCH Muslim comic's embrace of anti-semitic jokes has polarised the country."	""	""
96235	"en_AUS_austra_int"	"2014-01-05 15:41:32"	"Critics take swing at plodding President"	"BARACK Obama could well be the slowest commander-in-chief ever to hit the golf links."	""	""
96236	"en_AUS_austra_int"	"2014-01-05 15:41:32"	"People of PNG will die as aid goes: MP"	"AUSTRALIA'S withdrawal from its $38m funding of the delivery of medicines throughout Papua New Guinea will cause 'certain death'."	""	""
96237	"en_AUS_austra_int"	"2014-01-05 15:41:32"	"US drawn into pack ice saga"	"THE Antarctic stranding of an Australian-sponsored ""pseudo-scientific"" tourism venture has become a sensitive diplomatic issue."	"USA"	""
97367	"en_AUS_austra_int"	"2014-01-05 21:41:29"	"Tel Aviv now an 'African city'"	"MORE than 30,000 African asylum-seekers who entered Israel illegally have protested, in the biggest ever rally by migrants in the Jewish state."	"ISR"	""
97568	"en_AUS_austra_int"	"2014-01-05 22:41:28"	"Iraq readying to retake Fallujah"	"IRAQ is preparing a ""major attack"" on militant-held Fallujah spelling another assault for the city where US forces repeatedly battled insurgents."	"IRQ"	""
97893	"en_AUS_austra_int"	"2014-01-05 23:41:28"	"Pope to visit Holy Land in peace push"	"POPE Francis will travel to Israel, the West Bank and Jordan, his first visit to the Holy Land amid a new US push for peace."	"VAT"	""
98159	"en_AUS_austra_int"	"2014-01-06 00:41:27"	"Iran may play role at Syria peace talks"	"THE US has for the first time hinted that Iran may be able to play some kind of role at talks to end the war in Syria."	"SYR"	""
98159	"en_AUS_austra_int"	"2014-01-06 00:41:27"	"Iran may play role at Syria peace talks"	"THE US has for the first time hinted that Iran may be able to play some kind of role at talks to end the war in Syria."	"IRN"	""
98160	"en_AUS_austra_int"	"2014-01-06 00:41:27"	"Witness filmed Schumacher's crash"	"A GERMAN eyewitness says he inadvertently caught Formula One champion Michael Schumacher's skiing accident on his smartphone."	""	""
98161	"en_AUS_austra_int"	"2014-01-06 00:41:27"	"Violence rages in Bangladesh vote"	"THOUSANDS of protesters firebombed polling stations and at least 18 people died during Bangladeshi elections."	"BGD"	""
98421	"en_AUS_austra_int"	"2014-01-06 01:41:27"	"Deep freeze hits US"	"A FREEZING ""polar vortex"" is threatening much of the United States with potentially record-breaking temperatures."	"USA"	""
98597	"en_AUS_austra_int"	"2014-01-06 02:41:26"	"Devil exorcised from baptism service"	"THE Church of England has been accused of ""dumbing down"" its baptism service by omitting the need to ""reject the devil""."	""	""
98947	"en_AUS_austra_int"	"2014-01-06 04:44:54"	"The big business of selling clicks"	"CELEBRITIES and businesses are buying bogus Facebook likes, Twitter followers or YouTube viewers from ""click farms""."	""	""
99417	"en_AUS_austra_int"	"2014-01-06 05:44:53"	"Taliban 'poised to regain ground'"	"HARD-FOUGHT territory in southern Afghanistan will fall to the Taliban after British forces withdraw this year, experts believe."	""	""
99673	"en_AUS_austra_int"	"2014-01-06 06:44:53"	"Companies throw hierarchy out the door"	"AN online American shoe seller has introduced a radical organisational structure where there are no managers, no job titles and workers set their own priorities."	""	""
99674	"en_AUS_austra_int"	"2014-01-06 06:44:53"	"New cars still just a dream for Cubans"	"IN a country known for the age of its cars, it should have been a symbolic shift: Cubans are now free to buy a new car."	"CUB"	""
102243	"en_AUS_austra_int"	"2014-01-06 15:44:46"	"Charm offensive in fearful Fallujah"	"AL-QA'IDA fighters have launched a charm offensive in the Iraqi city they seized in recent days, extending friendship to locals."	"IRQ"	""
102244	"en_AUS_austra_int"	"2014-01-06 15:44:46"	"Unrest rages in Bangladesh poll"	"BANGLADESH stared into the political abyss yesterday after the ruling Awami League romped to victory in a blood-soaked election."	"BGD"	""
102245	"en_AUS_austra_int"	"2014-01-06 15:44:46"	"US rattled by al-Qa'ida conquests"	"SPIRALLING violence and advances by al-Qa'ida-linked fighters are underscoring the cost of Syria's civil war."	"USA"	""
102246	"en_AUS_austra_int"	"2014-01-06 15:44:46"	"Iran offers Iraq aid against 'terrorists'"	"A senior Iranian military official says Iran is ready to help Iraq battle al-Qa'ida ""terrorists"" in its western Anbar province."	"IRQ"	""
102246	"en_AUS_austra_int"	"2014-01-06 15:44:46"	"Iran offers Iraq aid against 'terrorists'"	"A senior Iranian military official says Iran is ready to help Iraq battle al-Qa'ida ""terrorists"" in its western Anbar province."	"IRN"	""
102247	"en_AUS_austra_int"	"2014-01-06 15:44:46"	"Ski resort rocked by jet crash"	"A co-pilot was killed and two pilots injured when a private jet crashed and burst into flames at the airport that serves Aspen."	""	""
