id_src,id_tgt,nb_cocitations
3,128,94.0883
128,1,50.8522
11,3,27.4873
11,128,11.0687
128,33,45.9301
3,33,125.607
30,19,865.614
73,34,49.9723
0,38,8.46036
21,38,10.6584
9,38,141.135
9,89,415.471
129,43,1.17157
129,64,4.10308
27,1,547.912
5,60,280.86
64,60,193.087
100,101,0.6
67,101,0.115152
67,100,8.77829
0,101,19.7672
95,101,0.147619
95,100,3.5203
3,10,6.96389
9,58,404.423
130,1,2.87998
100,4,11.5123
95,4,5.74899
1,100,2.69719
74,1,15.1552
4,73,261.166
132,131,1.00937
19,60,1083.21
101,21,6.42218
113,9,659.066
74,60,325.46
11,20,66.6296
11,27,30.1815
113,8,91.1832
16,46,93.0311
38,4,79.367
1,126,21.2838
4,39,179.664
39,5,19.1544
57,9,1.64916
55,9,25.3867
56,9,6.54239
24,8,16.524
27,4,573.405
16,39,44.8142
16,47,77.5552
0,27,85.2919
30,113,21.1857
112,30,20.494
113,11,72.8589
101,11,154.01
117,48,14.7621
133,129,3.13713
134,129,16.5524
134,133,15.1291
15,129,11.6296
15,133,30.7638
15,134,4.75098
51,129,14.278
51,133,0.907287
51,134,11.9179
51,15,13.2025
12,129,19.0122
12,133,2.97747
12,134,12.495
12,15,79.0067
12,51,2.35199
135,129,2.51409
135,133,29.1797
135,134,1.26882
135,15,103.646
135,51,2.80859
135,12,6.19639
40,129,8.53654
40,133,25.3879
40,134,11.6055
40,15,46.1576
40,51,8.70839
40,12,1.62458
40,135,28.7566
28,2,26.6889
14,28,215.404
30,29,99.8136
71,112,3.68569
71,114,2.53345
71,113,4.04664
8,81,73.1813
4,115,92.3633
28,27,131.239
14,27,4.20659
11,109,25.1663
34,74,60.8254
28,58,264.356
112,1,32.2893
114,1,55.8711
62,5,2.00429
6,62,2.78157
116,6,58.2135
1,116,5.61069
115,56,0.321639
115,57,0.314286
113,56,1.74815
113,57,0.592063
113,115,0.331162
55,115,1.65497
55,113,1.84278
88,6,56.9087
5,88,37.3387
47,126,156.679
79,9,63.8895
39,105,57.8156
47,105,211.265
6,136,150.198
5,136,232.413
37,0,2.44337
0,136,30.5185
24,83,33.6588
0,120,27.0889
20,68,91.2177
47,68,11.0017
47,20,370.918
39,58,12.8688
4,11,406.175
32,46,17.8883
35,126,12.9205
27,126,137.133
27,35,61.7904
70,9,264.058
31,14,8.99432
11,26,4.28612
4,26,25.1187
5,27,33.1216
6,27,57.0035
6,20,267.568
94,27,3.68884
94,20,9.3647
137,9,93.8375
51,16,2.61809
8,114,27.3857
0,28,103.949
139,20,108.781
4,66,314.996
1,70,14.5828
10,132,4.24441
140,1,9.27107
27,140,20.3892
92,9,106.054
1,113,41.1793
108,4,11.0868
90,28,58.6223
60,9,1248.24
43,9,950.985
142,13,9.3009
27,3,30.0219
143,114,49.6273
18,34,5.0119
18,16,2.96587
18,0,3.15797
13,18,0.739893
86,0,11.6981
30,24,241.415
0,66,97.8517
30,48,98.5722
141,1,2.24009
62,141,8.68182
4,89,100.044
20,67,32.1795
11,21,18.3239
111,4,35.9198
27,16,164.035
84,1,10.6478
9,76,5.33679
1,144,34.0312
144,46,0.549321
11,24,11.8209
10,37,2.02553
43,29,874.727
1,89,84.0348
33,89,8.59979
16,41,79.1245
16,29,13.5962
113,16,23.8122
53,16,9.21589
53,113,3.35928
18,1,8.39596
95,65,49.9578
90,65,26.0628
19,21,2.5659
11,19,5.11711
84,21,2.5539
84,19,4.06465
84,11,70.6931
1,68,16.5319
11,17,34.0019
36,0,34.4352
14,0,10.7997
14,1,22.7849
14,36,8.33009
9,14,416.52
21,36,2.90616
21,14,1.08326
30,0,238.487
74,14,8.83963
47,7,1.55595
33,114,49.4097
9,114,103.349
8,16,19.0057
0,96,29.3686
47,32,19.2819
39,92,75.1509
47,92,23.0912
1,32,23.08
93,117,0.666667
93,48,8.33333
124,128,21.2773
9,128,15.1226
105,4,203.81
110,1,16.4397
47,110,0.40873
0,87,50.636
61,87,19.6398
61,0,83.921
24,128,3.51034
77,35,1.0
3,23,2.72822
11,147,0.333333
16,147,0.333333
16,11,81.1157
26,0,23.6896
67,11,4.06772
67,26,3.55688
13,11,60.5396
13,26,4.67502
13,67,15.7028
1,145,3.66667
39,0,135.626
149,105,24.5712
149,9,12.8169
6,30,567.36
5,30,109.521
114,150,15.9118
9,109,220.424
29,6,8.01541
29,9,480.026
32,6,199.638
24,58,8.91
98,27,80.0049
98,1,15.7074
98,140,11.2951
133,4,27.8775
4,10,68.0749
2,1,18.8703
21,95,5.34717
28,9,315.062
27,82,1.08041
98,82,1.0
105,1,80.0871
105,16,42.2622
6,105,121.558
30,16,213.749
30,105,60.9672
145,11,11.4333
76,1,10.364
55,0,10.2984
22,0,45.3826
1,22,37.4802
28,21,161.082
1,79,49.3757
122,24,7.70516
110,24,18.1172
110,122,1.275
73,127,37.8277
83,1,36.4477
0,70,5.59626
132,1,5.1129
10,68,26.6197
11,30,65.047
