"ID"	"feed"	"time"	"text1"	"text2"	"TAG_country"	"TAG_ebola"
767707	"es_ESP_elpais_int"	"2014-03-21 18:19:09"	"Erdogan cumple su amenaza y bloquea Twitter en Turquía"	"El primer ministro impide el acceso a la red social, clave en revelar la corrupción del Gobierno. El presidente turco rechaza la decisión y sigue 'tuiteando'"	"TUR"	""
767708	"es_ESP_elpais_int"	"2014-03-21 18:19:09"	"“Era imposible no sentirse atraído por el carisma de ese hombre”"	"El afrikaner, que llegó a ser amigo de Mandela, relata en un libro su visión sobre el que fuera presidente de Sudáfrica"	""	""
768547	"es_ESP_elpais_int"	"2014-03-21 20:19:10"	"Bruselas incluye a tres asesores de Putin en su lista de sanciones"	"La UE sigue la estela estadounidense y les prohíbe entrar en su territorio y disponer de sus bienes en Europa"	"RUS"	""
768547	"es_ESP_elpais_int"	"2014-03-21 20:19:10"	"Bruselas incluye a tres asesores de Putin en su lista de sanciones"	"La UE sigue la estela estadounidense y les prohíbe entrar en su territorio y disponer de sus bienes en Europa"	"BEL"	""
768548	"es_ESP_elpais_int"	"2014-03-21 20:19:10"	"Moscú reclama 11.000 millones de euros por la rebaja del gas a Kiev"	"El Senado ruso ha aprobado las leyes necesarias para completar el proceso de incorporación de Crimea en la Federación"	"UKR"	""
768548	"es_ESP_elpais_int"	"2014-03-21 20:19:10"	"Moscú reclama 11.000 millones de euros por la rebaja del gas a Kiev"	"El Senado ruso ha aprobado las leyes necesarias para completar el proceso de incorporación de Crimea en la Federación"	"RUS"	""
768549	"es_ESP_elpais_int"	"2014-03-21 20:19:10"	"Los líderes europeos pactan el fin del secreto bancario en la UE"	"Austria y Luxemburgo acceden a intercambiar información financiera"	""	""
768885	"es_ESP_elpais_int"	"2014-03-21 21:19:10"	"La UE sella su apoyo a Ucrania con la firma del acuerdo de asociación"	"Los 28 acuerdan fórmulas para recudir la dependencia energética de Rusia"	"UKR"	""
768886	"es_ESP_elpais_int"	"2014-03-21 21:19:10"	"Putin enfría la escalada de las sanciones"	"Moscú suspende de momento la imposición de visado a los ucranios"	"RUS"	""
769344	"es_ESP_elpais_int"	"2014-03-21 22:19:11"	"Golpe de Erdogan contra las redes sociales"	"El presidente de Turquía y los países occidentales rechazan el bloqueo de Twitter"	"TUR"	""
769345	"es_ESP_elpais_int"	"2014-03-21 22:19:11"	"Maniobra arriesgada ante las urnas"	"El primer ministro turco, Recep Tayyip Erdogan, se juega su futuro en las municipales del día 30 de marzo"	""	""
769346	"es_ESP_elpais_int"	"2014-03-21 22:19:11"	"Turquía sigue tuiteando"	"Pese al bloqueo de la red social que ordenó Erdogan, incluso miembros del Gobierno se han saltado la prohibición"	"TUR"	""
769347	"es_ESP_elpais_int"	"2014-03-21 22:19:11"	"Ucrania y Siria"	"Un acuerdo entre Rusia para poner fin al conflicto sirio se antoja ahora imposible"	"SYR"	""
769347	"es_ESP_elpais_int"	"2014-03-21 22:19:11"	"Ucrania y Siria"	"Un acuerdo entre Rusia para poner fin al conflicto sirio se antoja ahora imposible"	"UKR"	""
769348	"es_ESP_elpais_int"	"2014-03-21 22:19:11"	"Sarkozy regresa como víctima"	"El expresidente imita la estrategia de Berlusconi al comparar sus escuchas con las de la Stasi"	"FRA"	""
769349	"es_ESP_elpais_int"	"2014-03-21 22:19:11"	"África se desangra en otra guerra tribal"	"El odio ancestral entre los dinka y nuer sume a Sudán del Sur, en un sangriento conflicto con decenas de miles de desplazados"	""	""
769350	"es_ESP_elpais_int"	"2014-03-21 22:19:11"	"El papa Francisco a los mafiosos: “Os lo pido de rodillas, convertíos”"	"Bergoglio agradeció la valentía de todos aquellos que, pese al dolor de la pérdida y al miedo, han decidido romper la omertà"	"VAT"	""
770210	"es_ESP_elpais_int"	"2014-03-22 01:19:13"	"Wilders divide a su partido con el discurso contra los “marroquíes”"	"Una eurodiputada dimite y 12 cargos están dispuestos a romper con el líder xenófobo. La Iglesia Protestante convoca el domingo en un servicio religioso abierto a otros credos"	""	""
772280	"es_ESP_elpais_int"	"2014-03-22 09:19:17"	"La búsqueda del vuelo MH370, una carrera contrarreloj"	"Seis aviones intensifican en el Índico sur el rastreo visual del Boeing desaparecido. Las baterías que permiten emitir señales a la caja negra solo durarán 15 días más"	""	""
773309	"es_ESP_elpais_int"	"2014-03-22 13:19:19"	"China comunica que ha encontrado otros posibles restos del avión malasio"	"Malasia informa de que Pekín posee imágenes de objetos flotantes en el mar. Seis aeronaves intensifican el rastreo"	"MYS"	""
773309	"es_ESP_elpais_int"	"2014-03-22 13:19:19"	"China comunica que ha encontrado otros posibles restos del avión malasio"	"Malasia informa de que Pekín posee imágenes de objetos flotantes en el mar. Seis aeronaves intensifican el rastreo"	"CHN"	""
773310	"es_ESP_elpais_int"	"2014-03-22 13:19:19"	"Pekín envía ocho barcos para colaborar en el rastreo del avión"	"Australia finaliza el cuarto día de búsqueda sin hallar restos del MH370 El rastreo de la zona se realiza a ojo desde el aire solo dos horas diarias"	"CHN"	""
773816	"es_ESP_elpais_int"	"2014-03-22 15:19:20"	"Fuerzas rusas elevan la presión sobre bases ucranias en Crimea"	"Centenares de manifestantes prorrusos sin armas penetraron en la base de Novofedorivka. Tropas rusas rodean y exigen la rendición de la de Belbek"	"UKR"	""
773816	"es_ESP_elpais_int"	"2014-03-22 15:19:20"	"Fuerzas rusas elevan la presión sobre bases ucranias en Crimea"	"Centenares de manifestantes prorrusos sin armas penetraron en la base de Novofedorivka. Tropas rusas rodean y exigen la rendición de la de Belbek"	"RUS"	""
773817	"es_ESP_elpais_int"	"2014-03-22 15:19:20"	"China comunica que ha encontrado otros posibles restos del avión"	"Malasia informa de que Pekín posee imágenes de objetos flotantes en el mar. Seis aeronaves intensifican el rastreo"	"CHN"	""
775643	"es_ESP_elpais_int"	"2014-03-22 22:19:22"	"Rusia despeja Crimea por la fuerza"	"Unidades rusas irrumpen a tiros y con blindados en una base aérea ucrania. Cientos de civiles prorrusos se hacen con el control de otro centro militar"	"UKR"	""
775643	"es_ESP_elpais_int"	"2014-03-22 22:19:22"	"Rusia despeja Crimea por la fuerza"	"Unidades rusas irrumpen a tiros y con blindados en una base aérea ucrania. Cientos de civiles prorrusos se hacen con el control de otro centro militar"	"RUS"	""
775644	"es_ESP_elpais_int"	"2014-03-22 22:19:22"	"La UE sella su apoyo a Ucrania con el acuerdo de asociación"	"Los 28 acuerdan fórmulas para recudir la dependencia energética de Rusia"	"UKR"	""
775645	"es_ESP_elpais_int"	"2014-03-22 22:19:22"	"Otro objeto en el Índico sur reaviva la esperanza de hallar el MH370"	"China localiza una pieza a 120 kilómetros de los dos restos detectados por Australia"	""	""
775646	"es_ESP_elpais_int"	"2014-03-22 22:19:22"	"37 accidentes aéreos sobre el mar en los últimos 40 años"	"Las ‘cajas negras’ de los aviones siniestrados han sido recuperadas incluso a 4.400 metros de profundidad"	""	""
775647	"es_ESP_elpais_int"	"2014-03-22 22:19:22"	"“Era imposible no sentirse atraído por el carisma de ese hombre”"	"El afrikáner, que llegó a ser amigo de Mandela, relata en un libro su visión sobre el que fuera presidente de Sudáfrica"	""	""
776133	"es_ESP_elpais_int"	"2014-03-23 00:19:22"	"Una ardua muda de piel"	"Dificultades técnicas y reticencias de las minorías marcan la transición en el península anexionada a Rusia"	""	""
776134	"es_ESP_elpais_int"	"2014-03-23 00:19:22"	"En la estela de Nicolás I"	"Hay claros paralelos entre la guerra de Crimea de 1854 y el conflicto actual. Como el zar, Putin teme un contagio democrático"	""	""
776135	"es_ESP_elpais_int"	"2014-03-23 00:19:22"	"1914-2014, la Europa volcánica"	"Una comparación de los mapas políticos europeos en el último siglo es altamente ilustrativo de los profundos cambios producidos en una realidad todavía magmática"	""	""
776136	"es_ESP_elpais_int"	"2014-03-23 00:19:22"	"Rotos de dolor"	"El 3 de marzo un atentado acabó con la vida de 11 personas en un tribunal de justicia en Islamabad (Pakistán). Sus familias nos muestran sus retratos y su dolor"	""	""
776137	"es_ESP_elpais_int"	"2014-03-23 00:19:22"	"Los combates en Siria dañan un castillo patrimonio de la Unesco"	"El Ejército sirio se ha hecho con el control de la fortaleza cruzada del Crac de los Caballeros, que data del siglo XIII"	"SYR"	""
778596	"es_ESP_elpais_int"	"2014-03-23 11:19:25"	"Satélites de Francia detectan también posibles restos del avión"	"Las imágenes se suman a las tomadas por Australia y China en el Índico sur. Australia ve probable que se encuentre el MH370"	"FRA"	""
778597	"es_ESP_elpais_int"	"2014-03-23 11:19:25"	"Otro objeto en el Índico reaviva la esperanza de hallar el MH370"	"China localiza una pieza a 120 kilómetros de los dos restos detectados por Australia"	""	""
778598	"es_ESP_elpais_int"	"2014-03-23 11:19:25"	"Las municipales miden hoy la desafección política en Francia"	"Hollande y los socialistas afrontan su primer test electoral de mitad de mandato. Los sondeos prevén una abstención récord"	"FRA"	""
779127	"es_ESP_elpais_int"	"2014-03-23 13:19:26"	"Rusia despeja Crimea a la fuerza"	"Unidades rusas irrumpen a tiros y con blindados en una base aérea ucrania. Cientos de civiles prorrusos se hacen con el control de otro centro militar"	"UKR"	""
779127	"es_ESP_elpais_int"	"2014-03-23 13:19:26"	"Rusia despeja Crimea a la fuerza"	"Unidades rusas irrumpen a tiros y con blindados en una base aérea ucrania. Cientos de civiles prorrusos se hacen con el control de otro centro militar"	"RUS"	""
779427	"es_ESP_elpais_int"	"2014-03-23 14:19:26"	"La OTAN alerta de un despliegue ruso como para invadir Transnistria"	"El máximo responsable militar para Europa afirma que las tropas tienen ""un número considerable y están muy dispuestas"" para entrar en la región separatista moldava"	"RUS"	""
779427	"es_ESP_elpais_int"	"2014-03-23 14:19:26"	"La OTAN alerta de un despliegue ruso como para invadir Transnistria"	"El máximo responsable militar para Europa afirma que las tropas tienen ""un número considerable y están muy dispuestas"" para entrar en la región separatista moldava"	"MDA"	""
780011	"es_ESP_elpais_int"	"2014-03-23 16:19:27"	"Turquía derriba un avión militar del régimen sirio"	"""Si violas mi espacio aéreo, el bofetón de respuesta será fuerte"", afirma el primer ministro turco"	"TUR"	""
780011	"es_ESP_elpais_int"	"2014-03-23 16:19:27"	"Turquía derriba un avión militar del régimen sirio"	"""Si violas mi espacio aéreo, el bofetón de respuesta será fuerte"", afirma el primer ministro turco"	"SYR"	""
781226	"es_ESP_elpais_int"	"2014-03-23 20:19:29"	"Los sondeos apuntan a una victoria de Le Pen en las locales de Francia"	"Hollande y los socialistas afrontan su primer test electoral de mitad de mandato. La abstención llega a un récord del 35%, según varias encuestas"	"FRA"	""
781226	"es_ESP_elpais_int"	"2014-03-23 20:19:29"	"Los sondeos apuntan a una victoria de Le Pen en las locales de Francia"	"Hollande y los socialistas afrontan su primer test electoral de mitad de mandato. La abstención llega a un récord del 35%, según varias encuestas"	"SYC"	""
781227	"es_ESP_elpais_int"	"2014-03-23 20:19:29"	"Satélites de Francia detectan también posibles restos del avión"	"Las nuevas pistas se suman a las imágenes tomadas por Australia y China en el Índico sur. Australia ve probable que se encuentren los restos del MH370"	"FRA"	""
781598	"es_ESP_elpais_int"	"2014-03-23 21:19:30"	"Los sondeos apuntan un gran resultado de Le Pen en las locales de Francia"	"Hollande y los socialistas afrontan su primer test electoral de mitad de mandato. La abstención llega a un récord del 35%, según varias encuestas"	"FRA"	""
782903	"es_ESP_elpais_int"	"2014-03-24 00:19:31"	"Las locales en Francia confirman el avance de Le Pen y de la abstención"	"La ultraderecha se sitúa en cabeza en Perpiñán y Aviñón y gana en el primer turno en Hénin-Beaumont, el feudo de Marine Le Pen. La abstención, cercana al 40%, castiga a los socialistas"	"FRA"	""
782904	"es_ESP_elpais_int"	"2014-03-24 00:19:31"	"Holanda se moviliza contra los insultos de Wilders a los marroquíes"	"La sociedad civil condena en un acto ecuménico las ideas del líder xenófobo"	"NLD"	""
